ZONE,REGION,FACIES,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS,BULK_TOTAL,PORV_TOTAL
Valysar,WestLowland,Floodplain,1998702.5079540731,196780.2948703766,12316.561610735953,8588.955287210643,1209324.9295196533,0,0,0,0,0,210157837.03488535,20002667.485443115
Valysar,WestLowland,Channel,1614472.2338779063,437513.4048309326,373385.42848587036,260380.3599243164,36661555.47607422,0,0,0,0,0,183541996.23204422,48100820.932647705
Valysar,WestLowland,Crevasse,550255.7909707701,124474.37870025635,83583.84092712402,58287.19840812683,8206837.696777344,0,0,0,0,0,68865621.71843977,14094263.326019287
Valysar,WestLowland,Coal,714391.4481262186,0,0,0,0,0,0,0,0,0,72943243.46462968,0
Valysar,WestLowland,Calcite,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,WestLowland,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,WestLowland,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,WestLowland,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralSouth,Floodplain,22387267.255799647,2200920.023738861,86626.47809,60408.981822576374,8505584.831394672,0,0,0,0,0,59888656.99732205,5686801.9900512695
Valysar,CentralSouth,Channel,25882321.143050745,6875865.176620483,6218859.999117672,4336722.549206734,610610548.2,0,0,0,0,0,46949261.43273336,12419501.961853027
Valysar,CentralSouth,Crevasse,5387726.642546242,1140639.8136482239,752069.3179420233,524455.6029613018,73843350.47773743,0,0,0,0,0,15172095.968147386,3096769.7025146484
Valysar,CentralSouth,Coal,4714546.785368158,0,0,0,0,0,0,0,0,0,11667526.082415389,0
Valysar,CentralSouth,Calcite,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralSouth,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralSouth,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralSouth,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralNorth,Floodplain,14967559.873404112,1552498.3377075195,117932.90816323459,82240.52350480855,11579465.964935303,0,0,0,0,0,45961307.62920739,4438896.793533325
Valysar,CentralNorth,Channel,8828281.205731561,2331906.0965805054,2109632.753601074,1471152.5807151794,207138287.82421875,0,0,0,0,0,23928645.037171017,6367318.527923584
Valysar,CentralNorth,Crevasse,2195416.890314476,460908.1181983948,307315.3167386055,214306.36248588562,30174336.560913086,0,0,0,0,0,13302629.684776437,2757603.7911071777
Valysar,CentralNorth,Coal,7333792.468866947,0,0,0,0,0,0,0,0,0,19963280.619279113,0
Valysar,CentralNorth,Calcite,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralNorth,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralNorth,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralNorth,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,NorthHorst,Floodplain,1381434.753,129313.42792320251,3861.1573601663113,2371.7182313390076,464619.58809280396,9976749.484659923,984840.7487163544,215353.48729380965,50082205.614730835,7662.5774930641055,18265968.051305294,1735223.654144287
Valysar,NorthHorst,Channel,1337153.662029908,380599.5355682373,312098.6181640625,191706.76383590698,37555353.74560547,5521946.742757983,1516512.457,1458023.7668380737,339075289.3173828,51878.519564151764,11809305.076286016,3247895.728881836
Valysar,NorthHorst,Crevasse,402053.37830049556,82381.22664260864,49160.90566253662,30197.115880012512,5915614.799072266,2251682.724248436,473652.9605255127,390741.1409,90870031.39160156,13903.114842295647,5516555.151586918,1129470.5723266602
Valysar,NorthHorst,Coal,841066.8322,0,0,0,0,7202988.950912632,0,0,0,0,9583213.191,0
Valysar,NorthHorst,Calcite,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,NorthHorst,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,NorthHorst,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,NorthHorst,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralRamp,Floodplain,6131131.332,603134.2405395508,94151.45808029175,65656.52725028992,9244439.246,0,0,0,0,0,6131131.332,603134.2405395508
Valysar,CentralRamp,Channel,2827111.9051571926,779506.0526123047,738466.6849975586,514969.80572509766,72507750.3,0,0,0,0,0,2827111.9051571926,779506.0526123047
Valysar,CentralRamp,Crevasse,2731790.373152812,593394.0658569336,469934.78692626953,327709.0631,46141437.12890625,0,0,0,0,0,2731790.373152812,593394.0658569336
Valysar,CentralRamp,Coal,1628244.1982184295,0,0,0,0,0,0,0,0,0,1628244.1982184295,0
Valysar,CentralRamp,Calcite,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralRamp,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralRamp,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralRamp,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralHorst,Floodplain,35176094.615590274,3569781.9551906586,564851.9086669981,393899.5265514124,55461054.58569288,0,0,0,0,0,41981230.90971141,4194846.402
Valysar,CentralHorst,Channel,27062079.793777388,7591485.163574219,7073684.515632629,4932834.500190735,694543112.9726562,0,0,0,0,0,34407856.827093095,9543500.031
Valysar,CentralHorst,Crevasse,9930008.706928689,2109630.2816848755,1630266.491862297,1136866.477083683,160070803.43481445,0,0,0,0,0,13045462.859159939,2737094.0888671875
Valysar,CentralHorst,Coal,9482342.113663793,0,0,0,0,0,0,0,0,0,13329251.98501873,0
Valysar,CentralHorst,Calcite,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralHorst,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralHorst,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,CentralHorst,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,EastLowland,Floodplain,54509.73484117737,5094.3986349105835,0,0,0,0,0,0,0,0,126538150.09021142,10507510.410461426
Valysar,EastLowland,Channel,54038.08471064052,15065.48193359375,7626.868359565735,5318.597332000732,748858.5175170898,0,0,0,0,0,67429500.31267759,17571768.944152832
Valysar,EastLowland,Crevasse,6907.6229554484735,1463.9642639160156,608.4284057617188,424.2875977,59739.69531,0,0,0,0,0,31232135.41025655,6058743.502380371
Valysar,EastLowland,Coal,116846.29943569936,0,0,0,0,0,0,0,0,0,44091973.09480286,0
Valysar,EastLowland,Calcite,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,EastLowland,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,EastLowland,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Valysar,EastLowland,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Therys,WestLowland,Floodplain,0,0,0,0,0,0,0,0,0,0,0,0
Therys,WestLowland,Channel,0,0,0,0,0,0,0,0,0,0,0,0
Therys,WestLowland,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Therys,WestLowland,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Therys,WestLowland,Calcite,290831.43389613286,0,0,0,0,0,0,0,0,0,52049895.89,0
