ZONE,REGION,FACIES,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS,BULK_TOTAL,PORV_TOTAL
Therys,WestLowland,Offshore,731359.3289576954,69230.10620450974,2972.329714970663,2072.754374456592,291843.8219563961,0,0,0,0,0,215925317.5106166,19198527.575008444
Therys,WestLowland,Lowershoreface,568206.9042944933,148337.79810333252,69102.85481071472,48188.88158988953,6784994.695556641,0,0,0,0,0,171942904.3418973,44378103.80082595
Therys,WestLowland,Uppershoreface,558553.6704657059,173407.21494293213,143564.46077728271,100114.68905639648,14096148.48046875,0,0,0,0,0,110436294.55488849,33543610.929314494
Therys,CentralSouth,Floodplain,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralSouth,Channel,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralSouth,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralSouth,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralSouth,Calcite,1571009.8495460562,0,0,0,0,0,0,0,0,0,6032294.396438252,0
Therys,CentralSouth,Offshore,1409075.833722923,124316.56430152059,4995.750119777396,3483.7867611683905,490517.18702721596,0,0,0,0,0,7759653.673584481,659949.2574788928
Therys,CentralSouth,Lowershoreface,2359625.505909268,592740.3274068236,244932.4085866511,170803.63613654673,24049152.491168976,0,0,0,0,0,10009884.852465335,2585948.1810806394
Therys,CentralSouth,Uppershoreface,5865347.083813049,1870413.4162294269,1618436.5849692225,1128616.8904616535,158909261.67873764,0,0,0,0,0,12365777.456286447,3892148.1751505136
Therys,CentralNorth,Floodplain,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralNorth,Channel,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralNorth,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralNorth,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralNorth,Calcite,1666297.1831211396,0,0,0,0,0,0,0,0,0,7545415.477,0
Therys,CentralNorth,Offshore,5438498.393799681,588722.4979204461,23585.82368492242,16447.576183219906,2315818.779649049,0,0,0,0,0,32892044.04237145,3479059.520508006
Therys,CentralNorth,Lowershoreface,4775596.692402432,1183772.1535873413,576489.2978930473,402014.86121082306,56603693.713012695,0,0,0,0,0,22368173.637573227,5453899.114868164
Therys,CentralNorth,Uppershoreface,4823433.777186052,1582293.115562439,1392592.5908813477,971124.5605,136734341.36914062,0,0,0,0,0,15454040.621668145,4931376.5986328125
Therys,NorthHorst,Floodplain,0,0,0,0,0,0,0,0,0,0,0,0
Therys,NorthHorst,Channel,0,0,0,0,0,0,0,0,0,0,0,0
Therys,NorthHorst,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Therys,NorthHorst,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Therys,NorthHorst,Calcite,332605.43545801745,0,0,0,0,1317019.833464144,0,0,0,0,2666771.8627033383,0
Therys,NorthHorst,Offshore,4239092.794071738,432252.82967084646,29258.418480676366,17972.00110538397,3520714.907190293,8407733.444642697,885524.9279044494,184958.62535208696,43013633.19602358,6581.085910399925,23134158.14959594,2361932.0521204695
Therys,NorthHorst,Lowershoreface,1416908.985310681,351623.33361434937,167964.4833946228,103172.28452587128,20211449.892822266,4637661.600755247,1161361.981262207,799506.5418777466,185931750.99414062,28447.558062553406,11160132.33194067,2755096.187133789
Therys,NorthHorst,Uppershoreface,982147.6177,307545.11016082764,261834.06578826904,160831.7318725586,31506935.319335938,3166929.6923659705,1019229.9547805786,973287.2000656128,226345856.85546875,34630.91631245613,6730269.103403799,2123711.2438964844
Therys,CentralRamp,Floodplain,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralRamp,Channel,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralRamp,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralRamp,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralRamp,Calcite,1049167.4118095015,0,0,0,0,0,0,0,0,0,1049167.4118095015,0
Therys,CentralRamp,Offshore,1377657.982,127372.63628721237,20165.33309163153,14062.296744063497,1979971.425666809,0,0,0,0,0,1377657.982,127372.63628721237
Therys,CentralRamp,Lowershoreface,2057309.0212011938,534604.3737621307,313625.0566177368,218706.4599866867,30793870.249145508,0,0,0,0,0,2057309.0212011938,534604.3737621307
Therys,CentralRamp,Uppershoreface,2831238.616394403,913958.5664,851107.0354003906,593519.5642700195,83567556.59,0,0,0,0,0,2831238.616394403,913958.5664
Therys,CentralHorst,Floodplain,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralHorst,Channel,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralHorst,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralHorst,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Therys,CentralHorst,Calcite,2694190.758919215,0,0,0,0,0,0,0,0,0,4843864.383938042,0
Therys,CentralHorst,Offshore,2396039.5960409436,230521.17372253537,44785.52098618448,31231.18684348464,4397351.211,0,0,0,0,0,8644203.553606551,960244.2043
Therys,CentralHorst,Lowershoreface,12357109.104440644,3096054.602137655,1878059.0044165552,1309664.604797706,184400780.4896698,0,0,0,0,0,18618981.598266233,4564376.808779806
Therys,CentralHorst,Uppershoreface,15628520.80462099,5204991.433416009,4890671.468761206,3410510.1621183753,480199842.3296356,0,0,0,0,0,18604906.869696233,6128814.714870095
Therys,EastLowland,Floodplain,0,0,0,0,0,0,0,0,0,0,0,0
Therys,EastLowland,Channel,0,0,0,0,0,0,0,0,0,0,0,0
Therys,EastLowland,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Therys,EastLowland,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Therys,EastLowland,Calcite,0,0,0,0,0,0,0,0,0,0,14347871.717178226,0
Therys,EastLowland,Offshore,0,0,0,0,0,0,0,0,0,0,38891091.397787035,3522855.274
Therys,EastLowland,Lowershoreface,0,0,0,0,0,0,0,0,0,0,37283948.01419142,8909551.393066987
Therys,EastLowland,Uppershoreface,0,0,0,0,0,0,0,0,0,0,26305189.84423734,8032484.272845864
Volon,WestLowland,Floodplain,41477.928615390694,4601.6852951049805,0,0,0,0,0,0,0,0,143519085.46110916,13357751.613170538
Volon,WestLowland,Channel,194482.15193643645,47336.22887611389,33683.03610229492,23488.86799621582,3307232.676,0,0,0,0,0,297049556.67394453,72688369.88458416
Volon,WestLowland,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,Calcite,32835.50751745263,0,0,0,0,0,0,0,0,0,71473593.42691268,0
Volon,WestLowland,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralSouth,Floodplain,6170304.568763321,655877.7863197327,0,0,0,0,0,0,0,0,51349495.432514794,4989269.2406311035
Volon,CentralSouth,Channel,13294583.893904163,3399732.096458435,2857712.1821746826,1992825.8312225342,280589883.31689453,0,0,0,0,0,125795312.14173874,30865215.389831543
Volon,CentralSouth,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralSouth,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralSouth,Calcite,6167922.134076932,0,0,0,0,0,0,0,0,0,31002589.753742244,0
Volon,CentralSouth,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralSouth,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralSouth,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralNorth,Floodplain,1954928.802865785,193916.25914764404,0,0,0,0,0,0,0,0,18389410.786199775,1683343.5669937134
Volon,CentralNorth,Channel,1507607.2996117827,367531.9177284241,308053.91564559937,214821.42378616333,30246857.173339844,0,0,0,0,0,14157627.802744115,3406676.6878356934
Volon,CentralNorth,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralNorth,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralNorth,Calcite,821907.1433833898,0,0,0,0,0,0,0,0,0,5748173.625395035,0
Volon,CentralNorth,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralNorth,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralNorth,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,NorthHorst,Floodplain,1472801.6107839877,152340.96339130402,0,0,0,363618.80577021325,37927.57329559326,0,0,0,3323204.4119073385,328634.46379852295
Volon,NorthHorst,Channel,3028175.660359922,770610.1363048553,679680.1513156891,417493.9407567978,81787060.39282227,2151860.8812773093,556651.5992069244,525570.5904426575,122225716.84472656,18700.53479528427,10287815.781988032,2585075.3172912598
Volon,NorthHorst,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Volon,NorthHorst,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Volon,NorthHorst,Calcite,754315.3417212621,0,0,0,0,486096.8918,0,0,0,0,2534014.4698361484,0
Volon,NorthHorst,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Volon,NorthHorst,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,NorthHorst,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralRamp,Floodplain,3371428.5403880766,340191.2224407196,0,0,0,0,0,0,0,0,3839705.4190928284,381814.55392456055
Volon,CentralRamp,Channel,6821595.477066987,1693876.5856132507,1514565.9637384415,1056182.703619957,148710527.95959473,0,0,0,0,0,7968227.021616267,1972398.0554199219
Volon,CentralRamp,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralRamp,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralRamp,Calcite,1446303.335432189,0,0,0,0,0,0,0,0,0,1522108.9656202258,0
Volon,CentralRamp,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralRamp,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralRamp,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralHorst,Floodplain,21904286.46784823,2161034.8593940735,0,0,0,0,0,0,0,0,33207002.079959717,3203425.300186157
Volon,CentralHorst,Channel,42347127.39220163,10733506.312164307,10006929.71092987,6978333.284439087,982549348.2099609,0,0,0,0,0,59693806.436040685,15032569.106384277
Volon,CentralHorst,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralHorst,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralHorst,Calcite,8945605.685913743,0,0,0,0,0,0,0,0,0,12936763.103136119,0
Volon,CentralHorst,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralHorst,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,CentralHorst,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,EastLowland,Floodplain,0,0,0,0,0,0,0,0,0,0,49354954.19569269,4146110.3909454346
Volon,EastLowland,Channel,0,0,0,0,0,0,0,0,0,0,97687582.85113108,23124521.536712646
Volon,EastLowland,Crevasse,0,0,0,0,0,0,0,0,0,0,0,0
Volon,EastLowland,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Volon,EastLowland,Calcite,0,0,0,0,0,0,0,0,0,0,25813384.339342453,0
Volon,EastLowland,Offshore,0,0,0,0,0,0,0,0,0,0,0,0
Volon,EastLowland,Lowershoreface,0,0,0,0,0,0,0,0,0,0,0,0
Volon,EastLowland,Uppershoreface,0,0,0,0,0,0,0,0,0,0,0,0
