REALISATION,SEGMENT_ID,ZONE,BULK,NET,PORE,HCPV,STOIIP,ASSOCIATEDGAS 
2,Totals,unmapped_injectites,238841985.8,73276569.55,23758100.19,21310256.43,19707420.08,484320110.1
2,Totals,Totals,761916699.5,564750636,183040745.1,152079715.8,140710016.3,3441405310
3,2,Heimdal,222015560.5,215182010.6,72074611.63,59398750.46,54292897.94,1497164037
3,2,mapped_injectites,33638038.77,27739811.96,9303946.46,8497170.37,7762732.87,213644459.7
3,2,unmapped_injectites,162921817.1,35062842.91,11733356.36,10582365.61,9662528.1,263551612.3
3,2,Totals,418575416.3,277984665.5,93111914.45,78478286.44,71718158.92,1974360109
3,3,Heimdal,166642018.2,161058335.1,54013726.32,43767194.67,40022227.49,823640980.3
3,3,mapped_injectites,52441501.16,43950182.37,14671520.11,13028368.57,11919090.55,247130030.8
3,3,unmapped_injectites,142849833.3,31046346.83,10406803.65,9363506.34,8554488.54,173588042.4
3,3,Totals,361933352.6,236054864.3,79092050.07,66159069.58,60495806.58,1244359054
3,Totals,Heimdal,388657578.6,376240345.7,126088338,103165945.1,94315125.43,2320805017
3,Totals,mapped_injectites,86079539.93,71689994.33,23975466.56,21525538.94,19681823.43,460774490.5
3,Totals,unmapped_injectites,305771650.4,66109189.74,22140160.01,19945871.95,18217016.64,437139654.7
3,Totals,Totals,780508769,514039529.7,172203964.5,144637356,132213965.5,3218719162
4,2,Heimdal,160645536.5,156998367.6,53281178.29,43510111.62,40585185.93,1072083633
4,2,mapped_injectites,39071356.04,31711248.63,10797677.75,9790861.47,9124200.2,240607401.9
4,2,unmapped_injectites,133567789.7,34126537.74,11631463.52,10447572.25,9731507.87,262101503.5
4,2,Totals,333284682.3,222836153.9,75710319.55,63748545.34,59440894,1574792539
4,3,Heimdal,104000331.9,101372712.5,34431297.66,27392676.16,25903669.28,554114706.9
4,3,mapped_injectites,56781525.55,46119265.54,15681395.05,13814167.27,13060631.7,276531112.5
4,3,unmapped_injectites,101430367.3,25977459.5,8832786.2,7916403.44,7490272.79,162626487.5
4,3,Totals,262212224.7,173469437.5,58945478.91,49123246.86,46454573.78,993272306.9
4,Totals,Heimdal,264645868.4,258371080,87712475.95,70902787.77,66488855.21,1626198340
4,Totals,mapped_injectites,95852881.59,77830514.17,26479072.8,23605028.74,22184831.91,517138514.4
4,Totals,unmapped_injectites,234998157,60103997.25,20464249.71,18363975.69,17221780.66,424727991
4,Totals,Totals,595496907,396305591.5,134655798.5,112871792.2,105895467.8,2568064845
5,2,Heimdal,226321858.5,218973069.8,70590596.37,57741961.71,52224169.87,1343344075
5,2,mapped_injectites,36453118.86,30281848.79,9775583.19,8891996.76,8049852.5,209937939.1
5,2,unmapped_injectites,132444063.3,29940185.81,9673339.05,8652396.81,7818177.2,201261523.9
5,2,Totals,395219040.7,279195104.4,90039518.61,75286355.28,68092199.57,1754543538
5,3,Heimdal,158145718.2,153007384.7,49551569.21,39321462.08,35858820.81,763710395.9
5,3,mapped_injectites,56979755.12,47335093.54,15259285.7,13420054.25,12238093.18,261653862.5
5,3,unmapped_injectites,112884679.4,26129763,8406759.91,7499367.21,6840279.16,148246650
5,3,Totals,328010152.6,226472241.2,73217614.82,60240883.54,54937193.15,1173610908
5,Totals,Heimdal,384467576.7,371980454.5,120142165.6,97063423.78,88082990.68,2107054471
5,Totals,mapped_injectites,93432873.97,77616942.34,25034868.88,22312051.01,20287945.68,471591801.5
5,Totals,unmapped_injectites,245328742.7,56069948.81,18080098.96,16151764.02,14658456.37,349508173.9
5,Totals,Totals,723229193.3,505667345.6,163257133.4,135527238.8,123029392.7,2928154447
6,2,Heimdal,121909696.8,116373139.4,38122563.08,29160173.59,26502556.3,702836324.4
6,2,mapped_injectites,32993397.16,27958119.07,9158359.92,8056971.87,7308483.68,194478035.6
6,2,unmapped_injectites,154599879.2,31344685.35,10240769.68,8940038.05,8100675.56,215607031.8
6,2,Totals,309502973.2,175675943.8,57521692.67,46157183.5,41911715.55,1112921392
6,3,Heimdal,67671179.59,64310169.61,21155359.63,16033859.54,14517177.06,288071036.9
6,3,mapped_injectites,44789484.62,37133893.14,12174109.67,10325117.23,9350046.35,184465107
6,3,unmapped_injectites,117967420.2,24076175.93,7881124.91,6832423.5,6190651.67,123733161
6,3,Totals,230428084.5,125520238.7,41210594.21,33191400.27,30057875.07,596269304.9
6,Totals,Heimdal,189580876.4,180683309,59277922.71,45194033.13,41019733.36,990907361.2
6,Totals,mapped_injectites,77782881.78,65092012.21,21332469.58,18382089.1,16658530.03,378943142.7
6,Totals,unmapped_injectites,272567299.4,55420861.28,18121894.59,15772461.55,14291327.23,339340192.8
6,Totals,Totals,539931057.6,301196182.5,98732286.88,79348583.77,71969590.62,1709190697
7,2,Heimdal,230455959.8,224868863.2,72432621.75,58071307.14,53020702.73,1487350805
7,2,mapped_injectites,42020660.6,35529671.69,11429107.52,10363718.97,9457998.57,262710271.6
7,2,unmapped_injectites,174614925.2,42532385.43,13692502.58,12223123.87,11167905.36,307435927.1
7,2,Totals,447091545.5,302930920.3,97554231.86,80658149.99,73646606.65,2057497004
7,3,Heimdal,184670050.7,180058103.9,57800032.59,46124638.03,42699559.08,844280052.7
7,3,mapped_injectites,67217811.64,58318714.72,18810510.52,16676360.15,15479656.93,304190745.4
7,3,unmapped_injectites,134836295.8,33198789.36,10661421.42,9541663.01,8825188.27,175707239.2
7,3,Totals,386724158.1,271575608,87271964.54,72342661.19,67004404.28,1324178037
7,Totals,Heimdal,415126010.4,404926967.1,130232654.3,104195945.2,95720261.81,2331630858
7,Totals,mapped_injectites,109238472.2,93848386.41,30239618.05,27040079.12,24937655.49,566901017
7,Totals,unmapped_injectites,309451220.9,75731174.79,24353924.01,21764786.88,19993093.63,483143166.3
7,Totals,Totals,833815703.6,574506528.3,184826196.4,153000811.2,140651010.9,3381675041
8,2,Heimdal,263091501.4,247336797.4,80433928.76,65546725.15,59136723.81,1509979676
8,2,mapped_injectites,33675705.6,26640844.46,8673933.37,7911470.18,7140889.94,183935772.3
8,2,unmapped_injectites,151989957.6,22721127.7,7374843.48,6634012.23,5978111.47,154027464
8,2,Totals,448757164.5,296698769.6,96482705.61,80092207.56,72255725.23,1847942912
8,3,Heimdal,188691902.7,177412831.3,57657065.21,46757754.72,42455792.35,791760561.9
8,3,mapped_injectites,54544761.73,43077252.02,13917678.25,12312699.83,11201616.11,210845260.3
8,3,unmapped_injectites,129141071.1,19339416.43,6286081.84,5645566.96,5119751.23,94356588.16
8,3,Totals,372377735.6,239829499.7,77860825.3,64716021.51,58777159.7,1096962410
8,Totals,Heimdal,451783404.1,424749628.7,138090994,112304479.9,101592516.2,2301740238
8,Totals,mapped_injectites,88220467.33,69718096.48,22591611.62,20224170.01,18342506.05,394781032.6
8,Totals,unmapped_injectites,281131028.7,42060544.14,13660925.32,12279579.19,11097862.7,248384052.2
8,Totals,Totals,821134900.1,536528269.3,174343530.9,144808229.1,131032884.9,2944905322
9,2,Heimdal,137079333.5,134737281.8,47190587.6,37536099.45,35097265.16,905472594.1
9,2,mapped_injectites,41455129.25,35685816.18,12508726.69,11234601.63,10502166.58,270236641.9
9,2,unmapped_injectites,134560207,28576991.55,10011908.93,8938241.9,8363092.34,216205035.8
9,2,Totals,313094669.7,199000089.5,69711223.23,57708942.98,53962524.08,1391914272
9,3,Heimdal,95573285.78,93713229.13,32778859.99,25764296.9,24472826.34,546761634.7
9,3,mapped_injectites,59602410.76,52443538.84,18393710.41,16107824,15303680.74,339483955.3
9,3,unmapped_injectites,106605038,22768477.54,7939829.76,7054859.35,6702300.68,150726333.4
9,3,Totals,261780734.5,168925245.5,59112400.16,48926980.25,46478807.76,1036971923
9,Totals,Heimdal,232652619.3,228450510.9,79969447.6,63300396.35,59570091.5,1452234229
9,Totals,mapped_injectites,101057540,88129355.02,30902437.1,27342425.64,25805847.32,609720597.2
9,Totals,unmapped_injectites,241165245,51345469.09,17951738.69,15993101.25,15065393.02,366931369.2
9,Totals,Totals,574875404.2,367925335.1,128823623.4,106635923.2,100441331.8,2428886195
10,2,Heimdal,194425593.7,180747173.5,60568353.33,49913993.66,44433764.76,1076348298
10,2,mapped_injectites,47500774.85,41479151.25,13839272.33,12564360.54,11195524.51,272148248.8
10,2,unmapped_injectites,166730796.5,32639353.3,10951587.26,9860377.14,8789230.69,215946672
10,2,Totals,408657165,254865678.1,85359212.93,72338731.34,64418519.96,1564443219
10,3,Heimdal,134837678.1,124862332.4,41755158.59,33151301.8,29795228.77,645731614.2
10,3,mapped_injectites,72252327.19,62149396.33,20942982.83,18469612.68,16618638.48,363143441
10,3,unmapped_injectites,137610926,27094597.01,9086566.2,8141678.03,7299546.23,158724110.1
10,3,Totals,344700931.3,214106325.8,71784707.62,59762592.5,53713413.49,1167599165
10,Totals,Heimdal,329263271.8,305609505.9,102323511.9,83065295.46,74228993.53,1722079912
10,Totals,mapped_injectites,119753102,103628547.6,34782255.16,31033973.22,27814163,635291689.8
10,Totals,unmapped_injectites,304341722.4,59733950.31,20038153.46,18002055.16,16088776.92,374670782.1
10,Totals,Totals,753358096.3,468972003.8,157143920.6,132101323.8,118131933.5,2732042384
