REALISATION,SEGMENT_ID,ZONE,BULK,NET,PORE,HCPV,STOIIP,ASSOCIATEDGAS 
0,2,Heimdal,201145181.9,198326110.1,65675557.11,53496801.46,48677709.51,1289959302
0,2,mapped_injectites,39227329.95,31095450.08,10352282.99,9404685.43,8557493.77,226773584.9
0,2,unmapped_injectites,153420897.6,30635171.46,10139067.31,9082900.05,8264695.42,219014428.6
0,2,Totals,393793409.4,260056731.7,86166907.42,71984386.94,65499898.71,1735747316
0,3,Heimdal,136586411.4,134462834.5,44523020.56,35303475.89,32537763.92,667024160.3
0,3,mapped_injectites,59862015.98,47160237.9,15565767.34,13668269.65,12597482.83,258248398
0,3,unmapped_injectites,120687037.4,23860779.84,7904569.79,7059497.27,6506448.72,133382198.8
0,3,Totals,317135464.8,205483852.3,67993357.69,56031242.8,51641695.47,1058654757
0,Totals,Heimdal,337731593.3,332788944.7,110198577.7,88800277.35,81215473.43,1956983462
0,Totals,mapped_injectites,99089345.93,78255687.98,25918050.34,23072955.08,21154976.6,485021982.9
0,Totals,unmapped_injectites,274107934.9,54495951.3,18043637.1,16142397.31,14771144.14,352396627.4
0,Totals,Totals,710928874.2,465540583.9,154160265.1,128015629.7,117141594.2,2794402073
1,2,Heimdal,182993858,176995390.9,57230063.74,46184886.98,41085587.45,1089750586
1,2,mapped_injectites,41889208.6,32155764.38,10454281.11,9448829.76,8405182.12,224160037.7
1,2,unmapped_injectites,63102119.21,12431656.87,4017292.1,3559180.04,3166150.32,83761324.52
1,2,Totals,287985185.8,221582812.1,71701636.96,59192896.78,52656919.89,1397671948
1,3,Heimdal,143113656,138195179.7,44695067.36,35927680.89,32307609.6,612631767.2
1,3,mapped_injectites,64632675.88,48639389.22,15677882.83,13806490.81,12423349.95,237509790.2
1,3,unmapped_injectites,51859640.88,10394175.73,3367552.35,2991950.35,2690817.59,50845657.65
1,3,Totals,259605972.7,197228744.6,63740502.54,52726122.05,47421777.14,900987215
1,Totals,Heimdal,326107513.9,315190570.5,101925131.1,82112567.87,73393197.04,1702382353
1,Totals,mapped_injectites,106521884.5,80795153.6,26132163.94,23255320.56,20828532.07,461669827.8
1,Totals,unmapped_injectites,114961760.1,22825832.6,7384844.45,6551130.39,5856967.91,134606982.2
1,Totals,Totals,547591158.5,418811556.7,135442139.5,111919018.8,100078697,2298659163
2,2,Heimdal,271394898.5,261167082.2,84558690.51,69064864.79,63584401.25,1666247754
2,2,mapped_injectites,33779051.01,28144562.17,9084734.54,8307626.16,7655691.98,201733866.7
2,2,unmapped_injectites,128174439.6,39012814.84,12637738.76,11374114.83,10469360.85,278569625.3
2,2,Totals,433348389,328324459.2,106281163.8,88746605.78,81709454.07,2146551246
2,3,Heimdal,165412275.3,158941021.7,51618677.02,41048704.62,38236837.1,840981791
2,3,mapped_injectites,52488488.88,43221400.33,14020542.83,12348263.83,11525665.87,248121788.6
2,3,unmapped_injectites,110667546.3,34263754.71,11120361.43,9936141.6,9238059.23,205750484.8
2,3,Totals,328568310.5,236426176.8,76759581.27,63333110.05,59000562.21,1294854064
2,Totals,Heimdal,436807173.8,420108103.9,136177367.5,110113569.4,101821238.4,2507229545
2,Totals,mapped_injectites,86267539.89,71365962.5,23105277.36,20655889.99,19181357.85,449855655.4
